doctor_name,completed_appointment
"thomas perkins",1
"cheryl fuller",1
"angel higgins",1
"theodore hoover",1
"jessica savage",1
"julie gibbs",1
"andrea mccarty",1
"jeffrey ramos",1
"heather bradley",1
"christine ortega",1
"zachary davenport",1
"robin browning",1
"raymond cobb",1
"yvonne davis",1
"robert tran",1
"samantha crawford",1
"michelle navarro",1
"susan peters",1
"sherry castaneda",1
"autumn campbell",1
"matthew anderson",1
"jill russell",1
"beverly hart",1
"heather nguyen",1
"cody rogers",1
"jordan rodriguez",1
"crystal jones",1
"jose price",1
"brandon fritz",1
"elizabeth wyatt",1
"steven powers",1
"amanda cruz",1
"tracy gray",1
"victor mcguire",1
"robert lane",1
"allen ramsey",1
"lisa mooney",1
"crystal rodriguez",1
"jay gibson",1
"lynn jones",1
"lisa colon",1
"stephanie perez",1
"sheri schultz",1
"ryan nguyen",1
"william lamb",1
"james landry",1
"lauren shaffer",1
"angelica morales",1
"tanner king",1
"donna thornton",1
"kristin richmond",1
"jason james",1
"justin stout",1
"cassandra kelly",1
"matthew dawson",1
"brian gonzalez",1
"david hoffman",1
"wendy butler",1
"maria reeves",1
"kevin taylor",1
"alex simon",1
"michael boyd",1
"james phillips",1
"carl bush",1
"kelly stewart",1
"michael armstrong",1
"jeffrey edwards",1
"patricia gibbs",1
"joyce jackson",1
"david murray",1
"david beck",1
"nicole houston",1
"troy park",1
"matthew arnold",1
"stephanie brandt",1
"kenneth sosa",1
"marilyn johnson",1
"leah khan",1
"jerome cervantes",1
"robert day",1
"beverly hernandez",1
"rachel garcia",1
"amy lucas",1
"charles edwards",1
"william nicholson",1
"frederick mckenzie",1
"shelly miller",1
"randy chang",1
"david ashley",1
"stacey smith",1
"lisa phillips",1
"dana taylor",1
"wendy hess",1
"lisa collins",1
"robert young",1
"joseph williams",1
